acct,area,vmail,day.mins,day.calls,day.charge,intl.mins,intl.calls,intl.charge,churn
1,415,yes,265.1,110,45.07,10,3,2.7,No
2,415,yes,161.6,123,27.47,13.7,3,3.7,No
3,415,no,243.4,114,41.38,12.2,5,3.29,No
4,408,no,299.4,71,50.9,6.6,7,1.78,No
5,415,no,166.7,113,28.34,10.1,3,2.73,No
6,510,no,223.4,98,37.98,6.3,6,1.7,No
7,510,yes,218.2,88,37.09,7.5,7,2.03,No
8,415,no,157,79,26.69,7.1,6,1.92,No
9,408,no,184.5,97,31.37,8.7,4,2.35,No
10,415,yes,258.6,84,43.96,11.2,5,3.02,No
11,415,no,129.1,137,21.95,12.7,6,3.43,Yes
12,415,no,187.7,127,31.91,9.1,5,2.46,No
13,408,no,128.8,96,21.9,11.2,2,3.02,No
14,510,no,156.6,88,26.62,12.3,5,3.32,No
15,415,no,120.7,70,20.52,13.1,6,3.54,No
16,415,no,332.9,67,56.59,5.4,9,1.46,Yes
17,408,yes,196.4,139,33.39,13.8,4,3.73,No
18,510,no,190.7,114,32.42,8.1,3,2.19,No
19,510,yes,189.7,66,32.25,10,5,2.7,No
20,415,no,224.4,90,38.15,13,2,3.51,No
21,415,no,155.1,117,26.37,10.6,4,2.86,No
22,408,no,62.4,89,10.61,5.7,6,1.54,Yes
23,415,no,183,112,31.11,9.5,19,2.57,No
24,415,no,110.4,103,18.77,7.7,6,2.08,No
25,510,no,81.1,86,13.79,10.3,2,2.78,No
26,415,no,124.3,76,21.13,15.5,5,4.19,No
27,408,yes,213,115,36.21,9.5,3,2.57,No
28,408,no,134.3,73,22.83,14.7,4,3.97,No
29,415,no,190,109,32.3,6.3,6,1.7,No
30,510,no,119.3,117,20.28,11.1,1,3,No
31,415,no,84.8,95,14.42,14.2,6,3.83,No
32,510,no,226.1,105,38.44,10.3,5,2.78,No
33,408,no,212,121,36.04,12.6,10,3.4,No
34,408,no,249.6,118,42.43,11.8,3,3.19,Yes
35,408,yes,176.8,94,30.06,8.3,4,2.24,No
36,415,yes,220,80,37.4,14.7,6,3.97,No
37,408,yes,146.3,128,24.87,14.5,6,3.92,No
38,415,no,130.8,64,22.24,10,5,2.7,No
39,415,yes,203.9,106,34.66,10.5,6,2.84,No
40,408,no,140.4,94,23.87,11.1,9,3,No
41,408,no,126.3,102,21.47,9.4,2,2.54,No
42,408,yes,173.1,85,29.43,14.6,15,3.94,Yes
43,510,no,124.8,82,21.22,10,4,2.7,No
44,415,no,85.8,77,14.59,9.2,4,2.48,No
45,510,no,154,67,26.18,3.5,3,0.95,No
46,408,yes,120.9,97,20.55,8.5,5,2.3,No
47,415,no,211.3,120,35.92,13.2,5,3.56,No
48,408,no,187,133,31.79,7.4,5,2,No
49,415,no,159.1,114,27.05,8.8,3,2.38,Yes
50,415,yes,133.2,135,22.64,11,3,2.97,No
51,408,no,191.9,108,32.62,7.8,5,2.11,No
52,408,no,220.6,57,37.5,6.8,3,1.84,No
53,408,no,186.1,112,31.64,11.4,6,3.08,No
54,415,no,160.2,117,27.23,9.3,5,2.51,No
55,415,no,151,83,25.67,9.7,3,2.62,Yes
56,408,no,175.5,67,29.84,10.2,3,2.75,No
57,415,no,126.9,98,21.57,8,2,2.16,No
58,408,yes,198.4,129,33.73,5.8,3,1.57,Yes
59,415,no,148.8,70,25.3,12.1,3,3.27,No
60,408,no,229.3,103,38.98,12,8,3.24,No
61,408,no,192.1,97,32.66,11.4,4,3.08,No
62,415,yes,268.6,83,45.66,11.6,3,3.13,No
63,510,yes,193.7,91,32.93,14.6,3,3.94,No
64,408,yes,180.7,92,30.72,12.6,3,3.4,No
65,408,no,131.2,98,22.3,8.2,6,2.21,No
66,415,yes,148.1,74,25.18,6.2,5,1.67,No
67,415,no,251.5,105,42.76,9.3,4,2.51,No
68,408,no,125.2,93,21.28,8.3,8,2.24,No
69,408,no,211.6,70,35.97,7.8,1,2.11,No
70,510,no,178.9,101,30.41,13.8,3,3.73,Yes
71,408,no,241.8,93,41.11,11.8,7,3.19,No
72,510,yes,224.9,97,38.23,12.1,2,3.27,No
73,510,no,248.6,83,42.26,8,4,2.16,No
74,415,no,203.4,146,34.58,7.3,4,1.97,No
75,415,no,235.8,109,40.09,12,3,3.24,No
76,415,no,157.1,90,26.71,6.1,2,1.65,No
77,415,no,300.3,109,51.05,11.7,4,3.16,Yes
78,408,no,61.6,117,10.47,8.2,7,2.21,Yes
79,415,no,214.1,72,36.4,8.2,3,2.21,No
80,408,no,170.2,98,28.93,15,2,4.05,No
81,415,no,201.1,99,34.19,13.2,2,3.56,No
82,415,no,215.4,104,36.62,12.6,5,3.4,No
83,408,yes,165.6,123,28.15,11,2,2.97,No
84,415,yes,249.5,101,42.42,9.8,4,2.65,No
85,510,no,210.6,96,35.8,12.4,1,3.35,Yes
86,510,yes,179.3,104,30.48,8.6,7,2.32,No
87,408,no,157.9,105,26.84,8,5,2.16,Yes
88,510,no,214.3,118,36.43,12,2,3.24,No
89,415,yes,154.1,104,26.2,10.9,9,2.94,No
90,415,no,237.9,125,40.44,13.9,4,3.75,Yes
91,510,no,143.9,61,24.46,11.1,2,3,No
92,415,no,203.4,100,34.58,8.9,4,2.4,Yes
93,415,no,124.3,100,21.13,7.9,9,2.13,No
94,415,no,252.9,93,42.99,9.5,7,2.57,No
95,415,no,179.1,71,30.45,10.6,7,2.86,No
96,408,no,278.4,106,47.33,9.8,5,2.65,No
97,415,no,160.1,110,27.22,13,4,3.51,No
98,415,no,198.2,87,33.69,8.7,3,2.35,No
99,408,no,212.1,131,36.06,5.3,5,1.43,Yes
